cardName,cardNumber,raizimagens,type,team,cost,attack,defense,keywords,abilities,flavorText
A Carga! ,MOR-181,https://img.ccgdb.com/vs/cards/1/,Plot Twist,,1,,,,"Jogue em seu ataque, mova todos personagens para linha de ferente enauanto atacarem recebem +1  ATJ",
Arcanjo,MOR-001,https://img.ccgdb.com/vs/cards/1/,Character,X-MEN,2,2,3,Flight,"Quando Arcanjo ataca um personagem da fila de suporte, Arfcanjo ganha +3 ATK neste ataque.",O céu é o único lugar aonde me sinto verdadeiramente livre
Armadura Kevlar,MOR-197,https://img.ccgdb.com/vs/cards/1/,Equipment,,2,,,,"O personagem equipado ganha +1 DEF. Se o personagem equipado iria ficar atordoado, voce pode colocar KO este card, se o fizer o personagem não fica atordoado.",
Ataque Surpresa,MOR-215,https://img.ccgdb.com/vs/cards/1/,Plot Twist,,0,,,,"O Jogador alvo perde 3 de resistência. se esse jogador não controlar personagens na fila de suporte, esse jogador perde 5 de resustência",
Atenção Médica,MOR-200,https://img.ccgdb.com/vs/cards/1/,Plot Twist,,2,,,,"jogue somente na fase de recuperação, custo adicional esgote um personagem que você controla, recupere o personagem atordoado alvo",
Banshee,MOR-002,https://img.ccgdb.com/vs/cards/1/,character,X-MEN,3,4,3,Flight;Range,"Quando banshee ataca um personagem da fila da frente, esgote até dois personagens da filas de suporte.","A concentração intensa de energia sônica, o grito do Banshee pode derreter metal."
campo de força pessoal,MOR-208,https://img.ccgdb.com/vs/cards/1/,Equipment,,1,,,,"O Personagem equipado ganha +3 DEF, está reforçado e não pode ser alvo de plot twist",
Cerebra,MXS-011,https://img.ccgdb.com/vs/cards/12/,local,2,,,,,"ative -> revele o card do topo do seu deck, se for um x-men com custo 4 ou maior ponha em sua mão, caso contrario ponha no fundo do seu deck","o Fera desenhou o sistema cerebra para ser mais avançado do que o cerebro."
Ciclope (scott Summers),MOR-006,https://img.ccgdb.com/vs/cards/1/,Character,X-MEN,5,8,8,"Range","enquanto está atacando da fila de suporte colossos não pode ser atordoado","Incapaz de controlar seu poder mutante ciclope tem que usar um visor de quartzo rubi para focar suas explosões óticas."
Ciclope (Magro),MOR-007,https://img.ccgdb.com/vs/cards/1/,Character,X-MEN,2,3,2,"Range","enquanto está atacando em equipe, os seus personagens X-MEM ganham +2 ATK e +2 DEF","Líder nato, voçê pode ver isso no seu olho."
Colossus (Steadest Protector),MXS-002,https://img.ccgdb.com/vs/cards/12/,Character,X-MEN,5,10,10,,"Enquanto você tiver 25 ou menos de resistência colossus está reforçado","Em um instante colossus pode tornar seu corpo para aço tornando-o praticamente invencível."
Corporação X,MOR-033,https://img.ccgdb.com/vs/cards/1/,Local,,2,,,,"Ative -> descarte um card, ganhe 2 de resistência se o descartado for um X-MEN você ganha 4 de resistência ao invés de 2","A medida que o alcance da corporação aumenta, beneficia mutangtes no mundo inteiro."
Cristal (Alison Blaire),MOR-008,https://img.ccgdb.com/vs/cards/1/,Character,X-MEN,1,1,1,"Range","Ative -> descarte um card de X-MEN esgote o personagem alvo da fila de suporte, use este poder na fase de ataque","Alison Blaire tem a habilidade mutamte de transformar som em luz."
Desvio Acrobático,MOR-173,https://img.ccgdb.com/vs/cards/1/,Plot Twist,,1,,,,"o defensor alvo que você controla ganha -3 ATK e +3 DEF neste ataque",
Ilha Muir,MOR-034,https://img.ccgdb.com/vs/cards/1/,local,1,,,,,"Ative --> descarte 2 cartas ou 1 carta X-MEN de sua mão recupere o personagem alvo stunnado, use na fase de recuperação","A ilha muir é o centro de pesquisa de Moira Mactgaggert na Escócia."
Dupla Arma,MOR-184,https://img.ccgdb.com/vs/cards/1/,Equipment,,0,,,,"O personagem equipado ganha +2 ATK e tem alcance(Range)","Poder de fogo adicional nunca, nunca é uma má idéia."
Escola xavier,MOR-038,https://img.ccgdb.com/vs/cards/1/,local,,1,,,,"Ative desvire o personagem X-MEN alvo com custo igual ou inferior a 3. Esse personagem não pode atacar neste turno","Uma escola muito especial para pessoas muito especiais."
